Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;2;0.85;0;0;0;0,4,40000000,3.18237,0.104749,0.0108912
10000000,AceHash;2;0.85;1;0;0;0,0,40000000,1.34661,0.104661,0.0106051
10000000,AceHash;2;0.85;1;0;0;0,1,40000000,1.34453,0.104546,0.0105967
10000000,AceHash;2;0.85;1;0;0;0,2,40000000,1.34338,0.104576,0.0106144
10000000,AceHash;2;0.85;1;0;0;0,3,40000000,1.34526,0.104588,0.0105631
10000000,AceHash;2;0.85;1;0;0;0,4,40000000,1.34703,0.10483,0.0106245
10000000,AceHash;2;0.85;1;1;0;0,0,40000000,0.68846,0.117686,0.0121734
10000000,AceHash;2;0.85;1;1;0;0,1,40000000,0.688101,0.11853,0.0122872
10000000,AceHash;2;0.85;1;1;0;0,2,40000000,0.688033,0.117635,0.0119728
10000000,AceHash;2;0.85;1;1;0;0,3,40000000,0.689147,0.117883,0.0119751
10000000,AceHash;2;0.85;1;1;0;0,4,40000000,0.689347,0.118076,0.0119604
10000000,AceHash;2;0.85;1;1;1;0,0,40000000,0.688268,0.0813911,0.00822414
10000000,AceHash;2;0.85;1;1;1;0,1,40000000,0.687967,0.0819098,0.00822857
10000000,AceHash;2;0.85;1;1;1;0,2,40000000,0.688996,0.0817729,0.00822421
10000000,AceHash;2;0.85;1;1;1;0,3,40000000,0.691051,0.0818345,0.00827725
10000000,AceHash;2;0.85;1;1;1;0,4,40000000,0.688322,0.0817609,0.00822273
10000000,AceHash;2;0.85;1;1;1;1,0,40000072,0.155095,0.0818077,0.00827162
10000000,AceHash;2;0.85;1;1;1;1,1,40000000,0.155121,0.0808389,0.00824834
10000000,AceHash;2;0.85;1;1;1;1,2,40000000,0.154945,0.081715,0.00823265
10000000,AceHash;2;0.85;1;1;1;1,3,40000000,0.155354,0.0816892,0.00829284
10000000,AceHash;2;0.85;1;1;1;1,4,40000000,0.155158,0.0817225,0.00824733
10000000,AceHash;2;0.9;0;0;0;0,0,40000000,3.31259,0.104856,0.0108679
10000000,AceHash;2;0.9;0;0;0;0,1,40000000,3.30646,0.104629,0.010905
10000000,AceHash;2;0.9;0;0;0;0,2,40000000,3.30699,0.10473,0.0108916
10000000,AceHash;2;0.9;0;0;0;0,3,40000000,3.30595,0.104888,0.0108989
10000000,AceHash;2;0.9;0;0;0;0,4,40000000,3.31056,0.105098,0.0109069
10000000,AceHash;2;0.9;1;0;0;0,0,40000000,1.47404,0.104501,0.0106378
10000000,AceHash;2;0.9;1;0;0;0,1,40000000,1.47408,0.104558,0.0106081
10000000,AceHash;2;0.9;1;0;0;0,2,40000000,1.47515,0.104503,0.0106433
10000000,AceHash;2;0.9;1;0;0;0,3,40000000,1.47441,0.104845,0.0106038
10000000,AceHash;2;0.9;1;0;0;0,4,40000000,1.47473,0.104643,0.0106178
10000000,AceHash;2;0.9;1;1;0;0,0,40000112,0.704501,0.117505,0.0119695
10000000,AceHash;2;0.9;1;1;0;0,1,40000112,0.704555,0.117818,0.0119696
10000000,AceHash;2;0.9;1;1;0;0,2,40000112,0.705088,0.118105,0.0119634
10000000,AceHash;2;0.9;1;1;0;0,3,40000112,0.706278,0.117898,0.0119791
10000000,AceHash;2;0.9;1;1;0;0,4,40000112,0.704149,0.117522,0.0119785
10000000,AceHash;2;0.9;1;1;1;0,0,40000112,0.704646,0.0818052,0.00820683
